09/06/2025-08:18:00.264720  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:57338 -> 162.159.137.232:443
09/06/2025-08:18:00.311669  [**] [1:2060504:1] ET INFO Observed Discord Service Domain (gateway .discord .gg) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:43332 -> 162.159.135.234:443
09/06/2025-08:18:02.646241  [**] [1:2035464:3] ET INFO Observed Discord Domain (discordapp .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:41918 -> 162.159.133.233:443
09/06/2025-08:22:04.683037  [**] [1:2035948:4] ET INFO IP Check Domain (iplogger .org in DNS Lookup) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {UDP} 10.42.0.214:59343 -> 10.42.0.1:53
09/06/2025-08:22:10.958891  [**] [1:2035949:4] ET INFO IP Check Domain (iplogger .org in TLS SNI) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.42.0.214:47854 -> 172.67.74.161:443
09/06/2025-08:22:21.884146  [**] [1:2035949:4] ET INFO IP Check Domain (iplogger .org in TLS SNI) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.42.0.214:54474 -> 172.67.74.161:443
09/06/2025-08:22:41.892499  [**] [1:2060502:1] ET INFO Discord Chat Service Domain in DNS Lookup (gateway .discord .gg) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:14842 -> 10.42.0.1:53
09/06/2025-08:22:41.940737  [**] [1:2060504:1] ET INFO Observed Discord Service Domain (gateway .discord .gg) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:49580 -> 162.159.134.234:443
09/06/2025-08:22:42.398150  [**] [1:2060504:1] ET INFO Observed Discord Service Domain (gateway .discord .gg) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:49582 -> 162.159.134.234:443
09/06/2025-08:22:44.376763  [**] [1:2035465:4] ET INFO Observed Discord Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:54186 -> 10.42.0.1:53
09/06/2025-08:22:44.376763  [**] [1:2060503:1] ET INFO Discord Chat Service Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:54186 -> 10.42.0.1:53
09/06/2025-08:22:44.416411  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:39990 -> 162.159.136.232:443
09/06/2025-08:22:44.416411  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:39990 -> 162.159.136.232:443
09/06/2025-08:22:46.531565  [**] [1:2035466:4] ET INFO Observed Discord Domain in DNS Lookup (discordapp .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:52460 -> 10.42.0.1:53
09/06/2025-08:22:46.580107  [**] [1:2035464:3] ET INFO Observed Discord Domain (discordapp .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:56448 -> 162.159.133.233:443
09/06/2025-08:23:11.804274  [**] [1:2060504:1] ET INFO Observed Discord Service Domain (gateway .discord .gg) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:50806 -> 162.159.134.234:443
09/06/2025-08:39:01.548354  [**] [1:2060502:1] ET INFO Discord Chat Service Domain in DNS Lookup (gateway .discord .gg) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:36568 -> 10.42.0.1:53
09/06/2025-08:39:01.601979  [**] [1:2060504:1] ET INFO Observed Discord Service Domain (gateway .discord .gg) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:35578 -> 162.159.133.234:443
09/06/2025-08:39:05.353007  [**] [1:2035465:4] ET INFO Observed Discord Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:4965 -> 10.42.0.1:53
09/06/2025-08:39:05.353007  [**] [1:2060503:1] ET INFO Discord Chat Service Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:4965 -> 10.42.0.1:53
09/06/2025-08:39:05.424170  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:47400 -> 162.159.128.233:443
09/06/2025-08:39:05.424170  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:47400 -> 162.159.128.233:443
09/06/2025-08:39:16.799517  [**] [1:2035466:4] ET INFO Observed Discord Domain in DNS Lookup (discordapp .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:7547 -> 10.42.0.1:53
09/06/2025-08:39:16.845811  [**] [1:2035464:3] ET INFO Observed Discord Domain (discordapp .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:56806 -> 162.159.129.233:443
09/06/2025-08:41:05.101577  [**] [1:2060502:1] ET INFO Discord Chat Service Domain in DNS Lookup (gateway .discord .gg) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:21279 -> 10.42.0.1:53
09/06/2025-08:41:05.161307  [**] [1:2060504:1] ET INFO Observed Discord Service Domain (gateway .discord .gg) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:39968 -> 162.159.135.234:443
09/06/2025-08:41:09.262599  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:46950 -> 162.159.128.233:443
09/06/2025-08:41:09.262599  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:46950 -> 162.159.128.233:443
09/06/2025-08:41:26.956540  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.1:8000 -> 10.42.0.214:53902
09/06/2025-08:41:51.348847  [**] [1:2060504:1] ET INFO Observed Discord Service Domain (gateway .discord .gg) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:58344 -> 162.159.135.234:443
09/06/2025-08:49:12.646826  [**] [1:2060502:1] ET INFO Discord Chat Service Domain in DNS Lookup (gateway .discord .gg) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:1995 -> 10.42.0.1:53
09/06/2025-08:49:12.675876  [**] [1:2035465:4] ET INFO Observed Discord Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:23931 -> 10.42.0.1:53
09/06/2025-08:49:12.675876  [**] [1:2060503:1] ET INFO Discord Chat Service Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:23931 -> 10.42.0.1:53
09/06/2025-08:49:12.718718  [**] [1:2060504:1] ET INFO Observed Discord Service Domain (gateway .discord .gg) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:39564 -> 162.159.134.234:443
09/06/2025-08:49:12.733329  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:56804 -> 162.159.137.232:443
09/06/2025-08:49:12.733329  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:56804 -> 162.159.137.232:443
09/06/2025-08:49:25.482548  [**] [1:2035466:4] ET INFO Observed Discord Domain in DNS Lookup (discordapp .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:17696 -> 10.42.0.1:53
09/06/2025-08:49:25.531272  [**] [1:2035464:3] ET INFO Observed Discord Domain (discordapp .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:45686 -> 162.159.134.233:443
09/06/2025-08:51:19.602802  [**] [1:2034636:2] ET INFO Python SimpleHTTP ServerBanner [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.1:8000 -> 10.42.0.214:56356
09/06/2025-08:52:20.352393  [**] [1:2035948:4] ET INFO IP Check Domain (iplogger .org in DNS Lookup) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {UDP} 10.42.0.214:9198 -> 10.42.0.1:53
09/06/2025-08:52:21.577552  [**] [1:2035949:4] ET INFO IP Check Domain (iplogger .org in TLS SNI) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.42.0.214:51826 -> 104.26.2.46:443
09/06/2025-08:52:23.370191  [**] [1:2035949:4] ET INFO IP Check Domain (iplogger .org in TLS SNI) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.42.0.214:51842 -> 104.26.2.46:443
09/06/2025-08:52:27.371133  [**] [1:2035949:4] ET INFO IP Check Domain (iplogger .org in TLS SNI) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.42.0.214:51888 -> 104.26.2.46:443
09/06/2025-08:52:32.027803  [**] [1:2035949:4] ET INFO IP Check Domain (iplogger .org in TLS SNI) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.42.0.214:58886 -> 104.26.2.46:443
09/06/2025-08:53:47.912319  [**] [1:2036220:6] ET INFO Android Device Connectivity Check [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:49948 -> 142.250.70.131:80
09/06/2025-08:55:58.946288  [**] [1:2035948:4] ET INFO IP Check Domain (iplogger .org in DNS Lookup) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {UDP} 10.42.0.214:13572 -> 10.42.0.1:53
09/06/2025-08:55:59.011362  [**] [1:2035949:4] ET INFO IP Check Domain (iplogger .org in TLS SNI) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 10.42.0.214:58988 -> 172.67.74.161:443
