------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:26:45 (uptime: 0d, 00h 01m 21s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.mgr.flows_notimeout                      | Total                     | 78
flow.mgr.flows_timeout                        | Total                     | 14
flow.mgr.flows_evicted                        | Total                     | 14
flow.mgr.flows_evicted_needs_work             | Total                     | 14
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:28:06 (uptime: 0d, 00h 02m 42s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 190
capture.afpacket.polls                        | Total                     | 3565
capture.afpacket.poll_timeout                 | Total                     | 3381
capture.afpacket.poll_data                    | Total                     | 184
decoder.pkts                                  | Total                     | 190
decoder.bytes                                 | Total                     | 10416
decoder.ipv4                                  | Total                     | 174
decoder.ethernet                              | Total                     | 190
decoder.arp                                   | Total                     | 16
decoder.tcp                                   | Total                     | 174
tcp.syn                                       | Total                     | 87
tcp.rst                                       | Total                     | 87
decoder.avg_pkt_size                          | Total                     | 54
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 63
flow.total                                    | Total                     | 87
flow.active                                   | Total                     | 63
flow.tcp                                      | Total                     | 87
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
flow.wrk.flows_evicted_needs_work             | Total                     | 24
flow.wrk.flows_evicted_pkt_inject             | Total                     | 24
flow.wrk.flows_injected                       | Total                     | 24
tcp.sessions                                  | Total                     | 87
tcp.ssn_from_cache                            | Total                     | 16
tcp.ssn_from_pool                             | Total                     | 71
flow.end.state.closed                         | Total                     | 24
flow.end.tcp_state.closed                     | Total                     | 24
flow.mgr.full_hash_pass                       | Total                     | 8
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 113
flow.mgr.flows_notimeout                      | Total                     | 89
flow.mgr.flows_timeout                        | Total                     | 24
flow.mgr.flows_evicted                        | Total                     | 24
flow.mgr.flows_evicted_needs_work             | Total                     | 24
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:28:14 (uptime: 0d, 00h 02m 50s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 204
capture.afpacket.polls                        | Total                     | 3810
capture.afpacket.poll_timeout                 | Total                     | 3612
capture.afpacket.poll_data                    | Total                     | 198
decoder.pkts                                  | Total                     | 204
decoder.bytes                                 | Total                     | 11172
decoder.ipv4                                  | Total                     | 186
decoder.ethernet                              | Total                     | 204
decoder.arp                                   | Total                     | 18
decoder.tcp                                   | Total                     | 186
tcp.syn                                       | Total                     | 93
tcp.rst                                       | Total                     | 93
decoder.avg_pkt_size                          | Total                     | 54
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 68
flow.total                                    | Total                     | 93
flow.active                                   | Total                     | 68
flow.tcp                                      | Total                     | 93
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
flow.wrk.flows_evicted_needs_work             | Total                     | 25
flow.wrk.flows_evicted_pkt_inject             | Total                     | 25
flow.wrk.flows_injected                       | Total                     | 25
tcp.sessions                                  | Total                     | 93
tcp.ssn_from_cache                            | Total                     | 21
tcp.ssn_from_pool                             | Total                     | 72
flow.end.state.closed                         | Total                     | 25
flow.end.tcp_state.closed                     | Total                     | 25
flow.mgr.full_hash_pass                       | Total                     | 9
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 119
flow.mgr.flows_notimeout                      | Total                     | 94
flow.mgr.flows_timeout                        | Total                     | 25
flow.mgr.flows_evicted                        | Total                     | 25
flow.mgr.flows_evicted_needs_work             | Total                     | 25
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:28:22 (uptime: 0d, 00h 02m 58s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 224
capture.afpacket.polls                        | Total                     | 4180
capture.afpacket.poll_timeout                 | Total                     | 3963
capture.afpacket.poll_data                    | Total                     | 217
decoder.pkts                                  | Total                     | 224
decoder.bytes                                 | Total                     | 12264
decoder.ipv4                                  | Total                     | 204
decoder.ethernet                              | Total                     | 224
decoder.arp                                   | Total                     | 20
decoder.tcp                                   | Total                     | 204
tcp.syn                                       | Total                     | 102
tcp.rst                                       | Total                     | 102
decoder.avg_pkt_size                          | Total                     | 54
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 66
flow.total                                    | Total                     | 102
flow.active                                   | Total                     | 66
flow.tcp                                      | Total                     | 102
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
flow.wrk.flows_evicted_needs_work             | Total                     | 36
flow.wrk.flows_evicted_pkt_inject             | Total                     | 36
flow.wrk.flows_injected                       | Total                     | 36
tcp.sessions                                  | Total                     | 102
tcp.ssn_from_cache                            | Total                     | 29
tcp.ssn_from_pool                             | Total                     | 73
flow.end.state.closed                         | Total                     | 36
flow.end.tcp_state.closed                     | Total                     | 36
flow.mgr.full_hash_pass                       | Total                     | 10
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 143
flow.mgr.flows_notimeout                      | Total                     | 107
flow.mgr.flows_timeout                        | Total                     | 36
flow.mgr.flows_evicted                        | Total                     | 36
flow.mgr.flows_evicted_needs_work             | Total                     | 36
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:28:30 (uptime: 0d, 00h 03m 06s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 242
capture.afpacket.polls                        | Total                     | 4548
capture.afpacket.poll_timeout                 | Total                     | 4313
capture.afpacket.poll_data                    | Total                     | 235
decoder.pkts                                  | Total                     | 242
decoder.bytes                                 | Total                     | 13272
decoder.ipv4                                  | Total                     | 222
decoder.ethernet                              | Total                     | 242
decoder.arp                                   | Total                     | 20
decoder.tcp                                   | Total                     | 222
tcp.syn                                       | Total                     | 111
tcp.rst                                       | Total                     | 111
decoder.avg_pkt_size                          | Total                     | 54
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 66
flow.total                                    | Total                     | 111
flow.active                                   | Total                     | 66
flow.tcp                                      | Total                     | 111
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
flow.wrk.flows_evicted_needs_work             | Total                     | 45
flow.wrk.flows_evicted_pkt_inject             | Total                     | 45
flow.wrk.flows_injected                       | Total                     | 45
tcp.sessions                                  | Total                     | 111
tcp.ssn_from_cache                            | Total                     | 36
tcp.ssn_from_pool                             | Total                     | 75
flow.end.state.closed                         | Total                     | 45
